Sample	Spectrum	Background	Delta										Helium			Argon	
580	24377	182	24195														
581	23548.99	182	23366.99														
582	22892	182	22710														
583	22799	182	22617														
584	24412	182	24230														
585	24674.5	182	24492.5														
586	23817	182	23635														
587	22144	182	21962														
588	20400.5	182	20218.5														
589	19345.5	182	19163.5														
590	19186.5	182	19004.5														
591	18552	182	18370														
592	18754.5	182	18572.5														
593	19036.5	182	18854.5														
594	18830	182	18648														
595	18408	182	18226														
596	17308	182	17126														
597	16128.01	182	15946.01														
598	15584	182	15402														
599	14884	182	14702														
600	14491.5	182	14309.5														
601	14338	182	14156														
602	13986.5	182	13804.5														
603	13329	182	13147														
604	13222.5	182	13040.5														
605	12486.5	182	12304.5														
606	12358.5	182	12176.5														
607	11808	182	11626														
608	10979.5	182	10797.5														
609	10792	182	10610														
610	10417	182	10235														
611	9950.999	182	9768.999														
612	9569.997	182	9387.997														
613	9502.002	182	9320.002														
614	10661	182	10479														
615	10724	182	10542														
616	10338	182	10156														
617	9422.495	182	9240.495														
618	7889.002	182	7707.002														
619	7216.997	182	7034.997														
620	6826.5	182	6644.5														
621	6286.999	182	6104.999														
622	5969	182	5787														
623	5789.996	182	5607.996														
624	5508	182	5326														
625	5279.999	182	5097.999														
626	4788.501	182	4606.501														
627	4618.504	182	4436.504														
628	4478.5	182	4296.5														
629	4351.5	182	4169.5														
630	4221.5	182	4039.5														
631	3950.499	182	3768.499														
632	3885.5	182	3703.5														
633	3993.499	182	3811.499														
634	3940.501	182	3758.501														
635	3751.5	182	3569.5														
636	3715.5	182	3533.5														
637	3801.499	182	3619.499														
638	3570	182	3388														
639	3268.501	182	3086.501														
640	3336.5	182	3154.5														
641	3094.499	182	2912.499														
642	3277.996	182	3095.996														
643	3084.002	182	2902.002														
644	2934.003	182	2752.003														
645	3230.997	182	3048.997														
646	3013	182	2831														
647	2999.496	182	2817.496														
648	2869.5	182	2687.5														
649	3109.495	182	2927.495														
650	2879.498	182	2697.498														
651	2932.001	182	2750.001														
652	2848.501	182	2666.501														
653	2846.5	182	2664.5														
654	3067.503	182	2885.503														
655	3040.999	182	2858.999														
656	3204.996	182	3022.996														
657	3329.503	182	3147.503														
658	3515.499	182	3333.499														
659	5420.494	182	5238.494														
660	13019	182	12837														
661	19702.49	182	19520.49														
662	22954.98	182	22772.98														
663	20761.99	182	20579.99														
664	12910.5	182	12728.5														
665	7131.002	182	6949.002														
666	4881.999	182	4699.999														
667	4275.498	182	4093.498														
668	3619.501	182	3437.501														
669	3111.501	182	2929.501														
670	2881.997	182	2699.997														
671	2537.5	182	2355.5														
672	2498.997	182	2316.997														
673	2429	182	2247														
674	2185.502	182	2003.502														
675	2104.497	182	1922.497														
676	2123.004	182	1941.004														
677	1851.002	182	1669.002														
678	1707.998	182	1525.998														
679	1762.5	182	1580.5														
680	1721.999	182	1539.999														
